10,3718,,,PST,VDC,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,deg C
10,3718,2007,1,620,12.09,1.926,32.5,5.754,2.338,.181,1.842,2.253,.187,1.788,27.95,3.991,2.185,.182,1.757,2.247,.193,-2.914
10,3718,2007,1,630,12.08,1.975,36.24,9.82,2.338,.198,1.907,2.361,.201,1.933,33.2,9.1,2.338,.201,1.924,2.299,.205,-2.898
10,3718,2007,1,640,12.09,2.029,21.83,5.263,2.338,.156,1.961,2.317,.172,2.021,16.06,5.622,2.491,.203,2.015,2.422,.21,-2.867
10,3718,2007,1,650,12.07,1.86,23.63,1.251,2.185,.233,1.736,2.231,.344,1.842,20.34,3.008,2.338,.298,1.773,2.395,.409,-2.848
10,3718,2007,1,700,12.07,1.398,19.35,3.729,1.879,.231,1.01,1.792,.524,1.461,6.876,5.871,1.726,.181,1.214,1.8,.466,-2.882
10,3718,2007,1,710,11.85,1.284,18,4.999,1.573,.19,.796,1.536,.483,1.442,2.181,1.534,1.879,.215,1.212,1.877,.484,-2.933
10,3718,2007,1,720,11.85,2.123,73.2,27.06,3.562,.748,1.996,3.471,.847,2.116,64.27,30.65,3.409,.636,2.085,3.379,.629,-2.915
10,3718,2007,1,730,11.85,3.785,112.3,3.156,4.327,.251,3.68,4.511,.256,3.57,111.1,4.122,4.327,.315,3.5,4.39,.316,-2.823
10,3718,2007,1,740,11.84,2.496,102.4,9.64,4.021,.639,2.448,3.804,.635,2.332,102.7,9.9,4.021,.684,2.23,3.802,.762,-2.793
10,3718,2007,1,750,11.84,1.451,83.6,4.393,2.338,.452,1.144,2.243,.714,1.267,86.5,5.107,2.491,.544,.962,2.28,.704,-2.759
10,3718,2007,1,800,11.83,1.117,89.5,8.95,2.032,.297,.703,2.065,.544,1.173,101.9,4.09,2.032,.291,.629,1.932,.522,-2.726
10,3718,2007,1,810,11.94,2.464,118.1,5.084,2.95,.367,2.463,2.994,.349,2.436,117.6,5.729,3.103,.396,2.347,2.911,.399,-2.72
10,3718,2007,1,820,12.05,1.486,101.7,11.3,2.185,.295,1.347,2.12,.503,1.555,96.9,13.18,2.185,.286,1.219,2.158,.583,-2.709
10,3718,2007,1,830,12.05,1.202,99.1,11,1.879,.29,.829,1.878,.556,1.174,87.5,4.997,1.879,.286,.69,1.698,.481,-2.686
10,3718,2007,1,840,12.07,.619,95.3,5.565,1.42,.291,.395,1.409,.2,.604,102.2,13.39,1.573,.367,.427,1.483,.259,-2.653
10,3718,2007,1,850,12.08,.452,97.7,0,.961,.172,.349,.349,0,.442,99.4,9.61,.961,.187,.349,.349,0,-2.62
10,3718,2007,1,900,12.09,.382,97.7,0,.808,.093,.349,.349,0,.349,92.9,0,.349,0,.349,.349,0,-2.545
10,3718,2007,1,910,12.11,.61,1.6,44.47,1.42,.284,.372,1.388,.147,.559,10.16,42.64,1.267,.29,.349,.349,0,-2.473
10,3718,2007,1,920,12.11,.366,341.5,0,.808,.073,.349,.349,0,.353,350.9,0,.655,.031,.349,.349,0,-2.44
10,3718,2007,1,930,12.12,.816,48.4,40.29,1.42,.286,.401,1.402,.21,.661,38.76,35.47,1.42,.36,.401,1.31,.208,-2.451
10,3718,2007,1,940,12.15,.563,77.5,.787,1.42,.251,.371,1.275,.139,.556,62.1,.232,1.267,.238,.349,.349,0,-2.354
10,3718,2007,1,950,12.13,1.338,94.3,10.07,1.879,.24,1.081,1.972,.561,1.313,90.5,15.65,2.032,.34,.95,2.022,.59,-2.395
10,3718,2007,1,1000,12.13,1.457,83.2,14.72,2.185,.281,1.225,2.205,.575,1.397,84.8,15.23,2.338,.453,1.156,2.335,.617,-2.33
10,3718,2007,1,1010,12.15,.605,87.8,9.44,1.267,.258,.349,.349,0,.512,94.9,10.38,1.726,.308,.379,1.41,.165,-2.226
10,3718,2007,1,1020,12.26,.998,111.9,10.7,2.491,.687,.867,2.432,.761,.909,118.6,9.41,2.185,.564,.768,2.529,.735,-2.134
10,3718,2007,1,1030,12.28,1.737,115,9.21,2.338,.23,1.735,2.303,.251,1.697,114,9.06,2.491,.287,1.58,2.421,.455,-2.152
