10,3707,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3707,2002,80,1530,3.5,12.7,6.69,0.87,6.5,0.91,6.4,0.91,6.23,0.87,106,6,104,7,1.5,0.1
10,3707,2002,80,1540,3.5,12.7,7.17,0.76,7.01,0.73,6.99,0.76,6.81,0.73,107,6,105,7,1.5,0
10,3707,2002,80,1550,3.5,12.7,6.54,0.87,6.44,0.83,6.47,0.83,6.24,0.83,106,6,102,7,1.5,0
10,3707,2002,80,1600,3.5,12.7,6.52,0.67,6.34,0.73,6.27,0.67,6.07,0.67,109,6,109,7,1.7,0.1
10,3707,2002,80,1610,3.5,12.8,6.12,0.7,6.12,0.67,6.1,0.62,5.89,0.62,106,7,104,7,2,0.1
10,3707,2002,80,1620,3.5,12.8,6.16,0.8,6.1,0.76,6.1,0.76,5.92,0.76,108,6,106,8,2.2,0.1
10,3707,2002,80,1630,3.5,12.8,6.57,0.76,6.59,0.8,6.67,0.87,6.49,0.8,102,7,101,8,2.2,0.1
10,3707,2002,80,1640,4,12.8,6.01,0.76,6.1,0.76,6.1,0.73,5.89,0.7,105,7,102,8,2.2,0.1
10,3707,2002,80,1650,4,12.8,5.81,0.83,5.77,0.8,5.8,0.73,5.61,0.73,109,7,107,8,2.2,0.1
10,3707,2002,80,1700,4,12.8,6.23,0.7,6.26,0.67,6.31,0.67,6.1,0.67,102,6,100,6,2.4,0.1
10,3707,2002,80,1710,4,12.7,5.71,0.64,5.71,0.73,5.72,0.67,5.54,0.64,110,7,108,8,2.2,0.1
10,3707,2002,80,1720,4,12.7,6.23,0.62,6.13,0.67,6.18,0.64,5.99,0.59,109,5,107,5,2,0.1
10,3707,2002,80,1730,4,12.7,6.5,0.67,6.39,0.7,6.39,0.67,6.18,0.64,110,5,107,5,1.7,0.1
10,3707,2002,80,1740,4,12.6,6.13,0.56,6.05,0.59,6.05,0.59,5.83,0.56,111,4,110,4,1.7,0.1
10,3707,2002,80,1750,4,12.6,5.51,0.59,5.48,0.56,5.4,0.5,5.19,0.5,113,5,112,5,1.5,0.1
10,3707,2002,80,1800,3.5,12.6,5.37,0.52,5.26,0.52,5.17,0.5,4.94,0.5,113,3,112,4,1.5,0.1
10,3707,2002,80,1810,3.5,12.6,5.32,0.54,5.32,0.56,5.32,0.56,5.08,0.56,111,4,110,5,1.2,0
10,3707,2002,80,1820,3.5,12.6,4.37,0.59,4.33,0.64,4.25,0.59,4.04,0.59,109,5,106,5,1.5,0
10,3707,2002,80,1830,3.1,12.6,4.44,0.45,4.37,0.45,4.3,0.44,4.05,0.44,112,3,111,4,1.2,0
10,3707,2002,80,1840,3.1,12.6,4.34,0.52,4.29,0.52,4.1,0.52,3.85,0.52,113,5,113,5,1.2,0
10,3707,2002,80,1850,3.1,12.6,5.26,0.62,4.22,0.76,4.39,0.73,4.84,0.56,134,8,133,9,1.2,0.1
10,3707,2002,80,1900,2.7,12.6,4.81,0.67,3.98,0.73,3.98,0.76,4.44,0.64,138,6,140,6,1,0.1
10,3707,2002,80,1910,2.7,12.6,4.65,0.48,4.18,0.56,3.88,0.59,4.3,0.48,145,2,146,3,1,0.1
10,3707,2002,80,1920,2.7,12.6,4.24,0.44,3.82,0.5,3.55,0.48,3.73,0.45,145,3,147,3,0.8,0.1
10,3707,2002,80,1930,2.7,12.6,4.19,0.34,3.29,0.54,3.09,0.52,3.53,0.4,141,4,143,4,0.8,0
10,3707,2002,80,1940,2.2,12.6,4.57,0.4,4.06,0.54,3.83,0.54,4.18,0.4,145,3,147,3,0.5,0
10,3707,2002,80,1950,2.2,12.6,4.56,0.42,4.55,0.5,4.51,0.45,4.35,0.48,150,3,153,2,0.5,0
10,3707,2002,80,2000,2.2,12.6,4.57,0.4,4.64,0.4,4.54,0.42,4.42,0.38,153,5,154,5,0.3,0.1
10,3707,2002,80,2010,1.8,12.6,4.02,0.4,4.18,0.34,4.18,0.28,3.89,0.38,160,4,162,2,-0.2,0.1
10,3707,2002,80,2020,1.8,12.6,3.74,0.4,3.81,0.38,3.82,0.38,3.49,0.34,161,5,166,2,-0.4,0.1
