10,3702,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3702,2002,60,10,-0.4,12.9,6.52,0.37,6.24,0.38,5.99,0.38,6.12,0.4,233,3,234,2,0.1,0.1
10,3702,2002,60,20,-0.8,12.9,6.59,0.4,6.26,0.37,6.01,0.4,6.13,0.4,233,3,235,2,0.1,0.1
10,3702,2002,60,30,-0.8,12.9,6.86,0.4,6.4,0.35,5.98,0.38,6.12,0.4,233,2,236,1,0.1,0.1
10,3702,2002,60,40,-0.8,12.9,6.4,0.4,6.04,0.4,5.81,0.34,5.93,0.38,237,2,237,2,0.3,0.1
10,3702,2002,60,50,-0.8,12.9,6.49,0.4,6.1,0.4,5.87,0.38,5.98,0.38,235,2,236,2,0.3,0.1
10,3702,2002,60,100,-0.8,12.9,6.19,0.44,5.86,0.4,5.7,0.34,5.83,0.34,239,3,239,2,0.3,0.1
10,3702,2002,60,110,-0.8,12.9,6.44,0.37,6.16,0.4,5.99,0.38,6.12,0.38,239,2,239,1,0.3,0.1
10,3702,2002,60,120,-0.8,12.9,6.57,0.32,6.27,0.35,6.1,0.4,6.23,0.4,239,1,239,1,0.3,0.1
10,3702,2002,60,130,-0.8,12.9,6.26,0.38,6.04,0.38,5.89,0.35,6.04,0.4,240,2,240,1,0.1,0
10,3702,2002,60,140,-0.8,12.9,6.16,0.38,5.95,0.38,5.86,0.38,5.98,0.4,241,2,240,1,0.1,0.1
10,3702,2002,60,150,-1.2,12.9,6.13,0.38,6.01,0.38,5.98,0.38,6.12,0.4,241,2,239,1,0.1,0.1
10,3702,2002,60,200,-1.2,12.9,6.04,0.38,5.93,0.37,5.92,0.37,6.05,0.38,241,1,239,1,-0.4,0.1
10,3702,2002,60,210,-1.2,12.9,6.13,0.4,5.89,0.38,5.86,0.35,5.99,0.38,239,2,241,1,-0.6,0.1
10,3702,2002,60,220,-1.2,12.9,6.44,0.35,6.16,0.4,6.01,0.42,6.16,0.42,240,2,240,1,-0.9,0
10,3702,2002,60,230,-1.2,12.9,6.71,0.38,6.5,0.37,6.31,0.38,6.44,0.38,239,2,241,2,-0.9,0.1
10,3702,2002,60,240,-1.2,12.9,6.78,0.4,6.44,0.34,6.31,0.37,6.44,0.34,240,3,242,2,-0.9,0.1
10,3702,2002,60,250,-1.2,12.9,7.04,0.4,6.74,0.38,6.6,0.38,6.72,0.4,242,2,237,2,-0.9,0.1
10,3702,2002,60,300,-1.6,12.9,7.28,0.38,7.08,0.37,6.97,0.4,7.08,0.38,240,2,233,2,-0.9,0.1
10,3702,2002,60,310,-1.6,12.9,7.24,0.44,7.06,0.38,6.86,0.4,6.95,0.42,237,2,233,2,-1.6,0.2
