10,3702,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3702,2002,32,730,0.5,12.8,6.59,0.52,6.44,0.54,6.32,0.52,6.42,0.52,284,3,280,3,0.5,0.1
10,3702,2002,32,740,0.5,12.8,7.13,0.45,6.9,0.44,6.78,0.5,6.86,0.5,286,3,277,2,0.5,0.1
10,3702,2002,32,750,0.5,13,7.45,0.38,7.28,0.37,7.15,0.4,7.32,0.42,284,2,274,2,0.8,0.1
10,3702,2002,32,800,0.5,13.4,7.08,0.48,6.81,0.42,6.72,0.44,6.85,0.44,284,5,275,4,1,0
10,3702,2002,32,810,0.5,13.6,5.89,0.52,5.54,0.62,5.08,0.64,5.17,0.67,261,6,249,8,0.8,0.3
10,3702,2002,32,820,0.5,13.6,5.5,0.48,5.23,0.45,4.98,0.44,5.08,0.48,253,6,241,4,0.5,0.1
10,3702,2002,32,830,0.5,13.6,5.16,0.54,4.94,0.54,4.81,0.5,4.93,0.5,256,8,244,8,0.8,0.1
10,3702,2002,32,840,0.9,13.6,5.07,0.62,4.74,0.52,4.57,0.5,4.7,0.5,260,7,246,6,1.2,0.1
10,3702,2002,32,850,0.9,13.6,5.39,0.52,5.3,0.48,5.26,0.52,5.4,0.52,253,5,245,6,1.5,0.1
10,3702,2002,32,900,1.4,13.6,6.24,0.48,6.05,0.45,5.87,0.44,5.99,0.45,272,4,262,4,1.7,0.1
10,3702,2002,32,910,1.4,13.6,5.71,0.48,5.61,0.48,5.57,0.45,5.71,0.45,261,5,252,4,2.2,0
10,3702,2002,32,920,1.8,13.6,5.62,0.56,5.48,0.52,5.32,0.54,5.41,0.59,262,4,257,4,2.4,0.2
10,3702,2002,32,930,2.2,13.6,5.24,0.76,5.13,0.73,5.03,0.7,5.11,0.73,261,4,255,5,2.9,0.1
10,3702,2002,32,940,2.2,13.6,4.93,0.59,5.08,0.59,5.16,0.64,5.21,0.67,275,4,272,4,3.2,0.1
10,3702,2002,32,950,2.7,13.6,5.87,0.38,5.86,0.44,5.89,0.52,5.98,0.52,275,2,271,3,2.7,0.1
10,3702,2002,32,1000,3.1,13.6,5.62,0.45,5.51,0.52,5.47,0.54,5.55,0.56,272,3,267,4,2.9,0.1
