10,3702,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3702,2003,1,10,1.8,13,3.75,0.4,3.54,0.34,3.09,0.38,3.31,0.32,226,3,-9999,-9999,2.7,0.5
10,3702,2003,1,20,1.4,13,3.07,0.45,2.77,0.4,2.24,0.48,2.54,0.45,220,4,-9999,-9999,3.2,0.5
10,3702,2003,1,30,1.4,13,2.74,0.59,2.48,0.62,1.96,0.67,2.27,0.62,216,9,-9999,-9999,2.9,0.2
10,3702,2003,1,40,1.4,13,2.98,0.7,2.46,0.7,1.45,0.73,1.81,0.67,218,7,-9999,-9999,2.7,0.2
10,3702,2003,1,50,1.4,13,2.38,0.67,2.19,0.62,1.96,0.62,2.22,0.56,198,15,-9999,-9999,2.4,0.5
10,3702,2003,1,100,1.4,13,2.46,0.52,2.11,0.48,1.6,0.44,1.88,0.38,207,8,-9999,-9999,1.5,0.1
10,3702,2003,1,110,1.4,13,2.51,0.62,2.33,0.54,2.04,0.45,2.29,0.45,187,13,-9999,-9999,1.5,0.1
10,3702,2003,1,120,1.4,13,4.28,0.54,3.97,0.54,3.56,0.62,3.62,0.56,208,6,-9999,-9999,2.2,0.2
10,3702,2003,1,130,0.9,13,4.88,0.62,4.49,0.62,4.02,0.56,4.07,0.54,204,5,-9999,-9999,2.4,0.1
10,3702,2003,1,140,0.9,13,4.39,0.62,4.06,0.62,3.49,0.64,3.61,0.62,211,7,-9999,-9999,2.2,0.1
10,3702,2003,1,150,0.9,13,6.19,1.18,5.83,1.23,5.47,1.23,5.52,1.18,216,7,-9999,-9999,2.2,0.2
10,3702,2003,1,200,0.9,13,7.3,0.7,6.92,0.7,6.54,0.76,6.59,0.7,212,6,-9999,-9999,3.2,0.2
10,3702,2003,1,210,1.4,13,7.55,0.48,7.17,0.54,6.69,0.67,6.69,0.64,211,3,-9999,-9999,2.9,0.2
10,3702,2003,1,220,1.4,13,7.3,0.64,6.92,0.64,6.59,0.7,6.6,0.67,212,5,-9999,-9999,3.2,0.3
10,3702,2003,1,230,1.4,13,7.81,0.64,7.23,0.76,6.6,0.73,6.64,0.7,215,5,-9999,-9999,3.4,0.2
10,3702,2003,1,240,1.4,13,7.79,0.48,7.26,0.5,6.59,0.52,6.59,0.52,212,1,-9999,-9999,2.4,0.2
10,3702,2003,1,250,1.4,13,8.2,0.48,7.65,0.59,6.97,0.62,6.99,0.59,214,2,-9999,-9999,2.7,0.2
10,3702,2003,1,300,1.4,13,7.89,0.56,7.19,0.62,6.47,0.56,6.52,0.56,218,3,-9999,-9999,2.9,0.1
