SDR	5.10.1
02/04/2007 02:40:00	12.938	1.283	15.630	9.160	13.073	1.335	15.967	9.105	12.307	1.351	14.910	9.156	12.472	1.392	15.981	9.130	11.843	1.348	15.324	8.023					226	5	228	0	205	18	217	0																
02/04/2007 02:50:00	12.820	1.283	16.048	9.928	12.988	1.335	16.308	10.237	12.364	1.294	15.311	9.931	12.571	1.392	15.565	9.516	11.843	1.291	14.573	8.406					227	5	227	0	208	16	206	0																
02/04/2007 03:00:00	12.879	1.283	15.630	9.548	13.013	1.278	15.967	9.870	12.554	1.239	16.103	9.931	12.762	1.276	15.981	9.516	12.150	1.134	15.324	9.574					229	5	230	0	211	18	221	0																
02/04/2007 03:10:00	13.485	1.340	16.391	10.297	13.591	1.335	16.702	10.619	12.992	1.294	16.847	9.931	13.161	1.276	16.715	9.894	12.531	1.237	16.114	8.809					230	5	232	0	210	17	176	0																
02/04/2007 03:20:00	13.075	1.127	15.630	9.160	13.220	1.172	16.308	9.105	12.529	1.187	15.681	9.931	12.762	1.276	15.981	9.894	11.889	1.291	15.693	8.809					230	5	226	0	212	17	216	0																
02/04/2007 03:30:00	11.498	1.177	14.517	8.788	11.615	1.172	15.184	9.105	11.032	1.136	14.178	7.994	11.189	1.171	14.458	7.984	10.677	1.086	13.393	7.274					228	6	231	0	210	17	205	0																
02/04/2007 03:40:00	12.373	1.400	15.630	8.788	12.461	1.394	15.550	8.734	12.018	1.294	15.311	8.378	12.246	1.333	15.200	8.760	11.475	1.291	14.924	8.406					233	4	230	0	218	14	229	0																
02/04/2007 03:50:00	10.764	1.079	13.344	8.007	10.695	1.075	13.273	7.576	10.290	0.876	12.620	7.994	10.442	0.984	12.913	7.984	9.687	0.837	12.246	7.639					243	5	243	0	232	12	238	0																
02/04/2007 04:00:00	10.984	1.664	14.865	6.490	10.957	1.731	15.184	6.445	10.626	1.607	13.376	6.842	10.795	1.655	13.681	6.847	10.347	1.470	14.193	6.496					244	6	247	0	233	12	149	0																
02/04/2007 04:10:00	8.885	1.526	12.964	5.731	8.854	1.588	12.526	6.062	8.600	1.239	11.477	6.077	8.686	1.276	11.782	6.092	8.298	1.134	11.112	5.340					243	8	258	0	233	12	239	0																
02/04/2007 04:20:00	10.610	1.079	13.344	7.625	10.709	1.075	13.273	7.576	10.135	1.239	12.992	6.464	10.287	1.276	13.291	6.847	9.624	1.134	12.246	6.873					235	6	236	0	222	13	218	0																
02/04/2007 04:30:00	10.708	1.127	13.736	7.625	10.759	1.172	13.663	7.576	10.515	1.042	14.558	7.994	10.655	1.121	14.458	7.984	10.153	1.040	13.393	7.639					236	5	239	0	223	13	229	0																
02/04/2007 04:40:00	11.543	1.127	13.736	8.788	11.608	1.172	14.441	8.336	11.134	1.187	14.178	8.378	11.336	1.222	14.082	8.362	10.477	1.237	13.010	7.274					236	6	234	0	224	11	224	0																
02/04/2007 04:50:00	11.904	1.079	15.263	8.788	11.940	1.075	15.550	8.734	11.431	1.042	14.558	8.378	11.659	1.073	14.805	8.362	10.982	1.086	13.393	8.023					239	5	254	0	228	10	226	0																
02/04/2007 05:00:00	13.187	1.340	16.048	10.297	13.238	1.394	16.308	10.237	12.847	1.294	16.103	9.548	13.058	1.392	16.322	9.516	12.367	1.348	15.693	9.183					238	5	241	0	226	12	232	0																
02/04/2007 05:10:00	12.463	1.526	15.630	8.788	12.559	1.520	15.967	8.336	12.202	1.351	14.910	9.156	12.358	1.454	15.200	8.362	11.719	1.408	14.573	8.406					230	6	229	0	217	15	213	0																
02/04/2007 05:20:00	13.397	1.400	16.391	9.548	13.475	1.394	16.308	9.870	13.044	1.351	16.449	9.548	13.230	1.454	16.715	9.516	12.384	1.470	15.693	8.406					233	7	244	0	219	14	226	0																
02/04/2007 05:30:00	16.230	1.340	18.712	12.964	16.244	1.456	18.969	12.526	15.733	1.411	18.392	11.477	16.055	1.518	18.979	11.782	15.062	1.348	18.012	10.327					241	4	242	0	231	8	244	0																
02/04/2007 05:40:00	13.619	1.283	16.048	10.680	13.726	1.335	16.308	10.237	13.078	1.351	16.103	9.156	13.335	1.392	15.981	9.894	12.441	1.348	15.324	8.809					237	6	241	0	227	11	214	0																
02/04/2007 05:50:00	13.370	1.177	15.630	9.928	13.325	1.224	15.967	9.492	13.027	1.239	16.103	9.548	13.274	1.276	16.322	9.516	12.433	1.291	15.324	9.183					242	5	243	0	233	9	233	0																
02/04/2007 06:00:00	13.854	1.283	16.786	9.928	13.790	1.335	17.105	9.870	13.261	1.411	16.847	8.781	13.538	1.518	17.117	9.130	12.756	1.408	16.114	8.406					245	6	243	0	237	9	246	0																
02/04/2007 06:10:00	13.178	1.283	16.048	9.160	13.013	1.394	16.308	9.492	12.737	1.411	15.681	9.156	12.905	1.454	15.981	9.130	12.238	1.536	16.114	8.809					247	6	247	0	239	10	211	0																
02/04/2007 06:20:00	13.291	1.400	16.786	9.548	13.404	1.394	16.702	9.492	12.898	1.474	16.103	9.156	13.127	1.585	16.322	9.130	12.343	1.470	15.693	8.406					233	8	237	0	224	12	229	0																
02/04/2007 06:30:00	13.213	0.990	15.630	9.928	13.334	1.030	15.550	10.237	12.771	1.042	16.103	9.931	12.939	1.073	16.322	9.894	12.150	1.086	14.573	8.809					227	5	235	0	215	13	220	0																
02/04/2007 06:40:00	14.000	1.461	17.191	10.297	14.074	1.520	17.471	10.237	13.509	1.411	16.847	9.931	13.708	1.518	17.117	9.516	12.857	1.408	16.114	9.183					231	5	234	0	218	13	222	0																
02/04/2007 06:50:00	14.954	1.283	18.319	10.297	14.975	1.394	18.229	11.015	14.319	1.411	17.255	9.931	14.525	1.454	17.857	10.261	13.678	1.408	17.263	9.956					234	5	238	0	223	12	228	0																
02/04/2007 07:00:00	14.289	1.461	17.559	10.680	14.205	1.588	17.846	10.619	13.908	1.411	17.255	10.689	14.073	1.454	17.483	10.642	13.349	1.408	18.794	9.956					235	2	238	0	227	10	205	0																
02/04/2007 07:10:00	16.511	1.979	20.975	11.461	16.548	2.059	21.267	11.397	15.986	1.830	20.681	11.477	16.290	1.969	21.273	11.782	15.456	1.749	19.558	11.498					239	1	239	0	231	11	215	0																
02/04/2007 07:20:00	16.819	1.400	19.837	13.344	16.936	1.456	19.741	12.894	16.361	1.539	19.555	12.226	16.815	1.655	19.749	12.546	16.167	1.604	19.925	11.498					240	1	241	0	235	1	239	0																
02/04/2007 07:30:00	16.875	1.229	19.471	12.595	17.082	1.335	20.111	12.137	16.361	1.294	19.555	11.845	16.737	1.392	20.119	12.546	15.797	1.408	19.146	11.498					238	0	239	0	234	0	235	0																
02/04/2007 07:40:00	14.826	1.229	17.935	11.826	14.965	1.335	18.620	11.761	14.281	1.294	18.005	11.090	14.630	1.333	18.630	11.418	13.924	1.470	18.399	10.712					237	0	238	0	234	0	234	0																
02/04/2007 07:50:00	16.522	1.526	19.837	11.826	16.493	1.588	19.741	12.137	15.975	1.474	19.555	11.477	16.247	1.518	19.749	11.782	15.395	1.408	18.399	11.112					237	0	238	0	234	0	234	0																
02/04/2007 08:00:00	16.786	2.158	20.975	11.826	16.658	2.150	21.267	11.015	15.901	2.273	21.468	11.090	16.013	2.341	21.273	11.037	15.303	2.080	20.300	9.956					237	0	238	0	234	0	234	0																
02/04/2007 08:10:00	15.213	1.340	18.712	11.826	15.055	1.394	18.229	11.761	14.462	1.187	17.255	11.090	14.544	1.222	17.483	11.037	13.714	1.348	17.634	9.956					237	0	238	0	233	0	234	0																
02/04/2007 08:20:00	14.139	1.400	17.559	11.078	14.047	1.394	17.471	11.015	13.734	1.411	17.255	10.303	13.889	1.392	17.117	10.642	13.375	1.408	17.263	9.956					237	0	238	0	233	0	234	0																
02/04/2007 08:30:00	13.799	1.400	17.559	10.680	13.681	1.394	17.471	10.619	13.323	1.294	17.255	9.931	13.396	1.333	16.715	10.261	12.925	1.348	16.114	9.574					237	0	238	0	233	0	234	0																
02/04/2007 08:40:00	14.028	1.738	18.319	10.297	13.881	1.731	17.846	9.870	13.599	1.753	18.005	9.931	13.645	1.805	18.240	9.516	13.217	1.749	16.856	9.574					237	0	238	0	233	0	234	0																
02/04/2007 08:50:00	15.283	1.664	19.062	11.826	15.084	1.731	18.620	11.397	14.665	1.753	18.788	10.689	14.708	1.729	18.979	10.642	14.109	1.749	18.012	9.574					237	0	238	0	233	0	234	0																
